condition,method,layer,mean_reciprocal_rank
blue,jlens,52,0.0001822787470716604
blue,jlens,53,0.00014214327524185975
blue,jlens,54,0.00011362154248305048
blue,jlens,55,0.0002620734452469318
blue,jlens,56,0.0001284589351842724
blue,jlens,57,0.00014430004448166828
blue,jlens,58,0.0006965963362046721
blue,jlens,59,0.0003988062835606901
blue,jlens,60,0.0005010574227490072
blue,jlens,61,0.0006170300752683052
blue,jlens,62,0.002217569131732355
blue,logit_lens,0,0.0002018829910453548
blue,logit_lens,1,0.00018058955121017463
blue,logit_lens,2,0.00019111438341337414
blue,logit_lens,3,0.0001848032432687557
blue,logit_lens,4,0.00022498646509839016
blue,logit_lens,5,0.00023293830587185784
blue,logit_lens,6,0.00027184738648093626
blue,logit_lens,7,0.00042194965451543043
blue,logit_lens,8,0.0003747943523122764
blue,logit_lens,9,0.0005189798905170948
blue,logit_lens,10,0.0012849254723032635
blue,logit_lens,11,0.0007047310728813216
blue,logit_lens,12,0.0009177921034866388
blue,logit_lens,13,0.0008735906145959241
blue,logit_lens,14,0.0007749066448611111
blue,logit_lens,15,0.0009176946699473231
blue,logit_lens,16,0.0008828534969177483
blue,logit_lens,17,0.0005171759478822602
blue,logit_lens,18,0.0006799578268394681
blue,logit_lens,19,0.001149416576910232
blue,logit_lens,20,0.0007582459406845621
blue,logit_lens,21,0.0005744351428611442
blue,logit_lens,22,0.0006508084816898828
blue,logit_lens,23,0.0006154801352095059
blue,logit_lens,24,0.0005403016900408554
blue,logit_lens,25,0.0003169876535886369
blue,logit_lens,26,0.00029720061221371637
blue,logit_lens,27,0.00032228242157240135
blue,logit_lens,28,0.00023149155586682835
blue,logit_lens,29,0.0001660247333835006
blue,logit_lens,30,0.00022307546452013112
blue,logit_lens,31,0.0003384545949855433
blue,logit_lens,32,0.0001555112880914156
blue,logit_lens,33,5.557633370089832e-05
blue,logit_lens,34,5.869557783127338e-05
blue,logit_lens,35,3.608806147250465e-05
blue,logit_lens,36,3.949901316450127e-05
blue,logit_lens,37,4.464883013450495e-05
blue,logit_lens,38,5.08082753594213e-05
blue,logit_lens,39,5.8255443548917386e-05
blue,logit_lens,40,5.093250273834347e-05
blue,logit_lens,41,8.077383397097329e-05
blue,logit_lens,42,8.892375555543585e-05
blue,logit_lens,43,6.0288251326638635e-05
blue,logit_lens,44,5.0321590790460676e-05
blue,logit_lens,45,8.273159368309432e-05
blue,logit_lens,46,8.525054038436827e-05
blue,logit_lens,47,0.00021114778140167082
blue,logit_lens,48,0.00020542894939029556
blue,logit_lens,49,0.00017965701101053637
blue,logit_lens,50,7.063066517619371e-05
blue,logit_lens,51,4.915701752305147e-05
blue,logit_lens,52,2.3771250725476025e-05
blue,logit_lens,53,2.242369156804398e-05
blue,logit_lens,54,2.926565997964749e-05
blue,logit_lens,55,5.742504799040111e-05
blue,logit_lens,56,5.061158921282809e-05
blue,logit_lens,57,4.39555434616132e-05
blue,logit_lens,58,0.00034890573522824303
blue,logit_lens,59,8.306016895351046e-05
blue,logit_lens,60,0.00010242861346428744
blue,logit_lens,61,0.0002968354394220956
blue,logit_lens,62,0.0007370242275308702
gold,jlens,0,2.408527106588595e-05
gold,jlens,1,1.7403456746112834e-05
gold,jlens,2,5.160276269419634e-05
gold,jlens,3,2.1135326935594496e-05
gold,jlens,4,0.00010465194376418007
gold,jlens,5,4.105256077169374e-05
gold,jlens,6,3.642133429617166e-05
gold,jlens,7,7.525338643476454e-05
gold,jlens,8,0.0001283293953039446
gold,jlens,9,4.6736199935031565e-05
gold,jlens,10,0.00014311321786726353
gold,jlens,11,5.164954462744116e-05
gold,jlens,12,5.6487782748339354e-05
gold,jlens,13,0.00011895148144706763
gold,jlens,14,7.93271871651645e-05
gold,jlens,15,0.0001323415500448461
gold,jlens,16,0.00027153706212422024
gold,jlens,17,0.0009389286075900486
gold,jlens,18,0.0015645402323516168
gold,jlens,19,0.0007374661959043217
gold,jlens,20,0.0008609516849836637
gold,jlens,21,0.0005530442798430445
gold,jlens,22,0.0005568412175829216
gold,jlens,23,0.0003712153168694503
gold,jlens,24,0.0004675722690068862
gold,jlens,25,0.0003774579822787754
gold,jlens,26,0.00031354810762158257
gold,jlens,27,0.00018428535150800222
gold,jlens,28,0.0002665817214125805
gold,jlens,29,0.00027536935823574535
gold,jlens,30,0.0002347090022247032
gold,jlens,31,0.000362923528708019
gold,jlens,32,0.0006962289609421768
gold,jlens,33,0.0005139501419957923
gold,jlens,34,0.000573345612070525
gold,jlens,35,0.0005780373718625591
gold,jlens,36,0.0004841074951845238
gold,jlens,37,0.0006813510452513513
gold,jlens,38,0.0007059091171410199
gold,jlens,39,0.0006765203873142332
gold,jlens,40,0.0007317868645113636
gold,jlens,41,0.0008183061982455187
gold,jlens,42,0.0006391795818797156
gold,jlens,43,0.0007123939317034393
gold,jlens,44,0.0009064329417189553
gold,jlens,45,0.0008072841421635779
gold,jlens,46,0.0006950589569426509
